Task ID,Task Name,Phase,Owner,Planned Start,Planned End,Duration (days),Dependency IDs,Status,Actual Start,Actual End,Notes
1,Land survey,Pre-construction,,YYYY-MM-DD,YYYY-MM-DD,,,
2,Soil investigation,Pre-construction,,YYYY-MM-DD,YYYY-MM-DD,,1,
3,Architectural concept,Design,,YYYY-MM-DD,YYYY-MM-DD,,1;2,
4,Structural design,Design,,YYYY-MM-DD,YYYY-MM-DD,,3,
5,Permit submission,Permits,,YYYY-MM-DD,YYYY-MM-DD,,4,
6,Permit approval,Permits,,YYYY-MM-DD,YYYY-MM-DD,,5,
7,Excavation,Foundation,,YYYY-MM-DD,YYYY-MM-DD,,6,
8,Foundation pour,Foundation,,YYYY-MM-DD,YYYY-MM-DD,,7,
9,Framing,Structure,,YYYY-MM-DD,YYYY-MM-DD,,8,
10,Roofing,Structure,,YYYY-MM-DD,YYYY-MM-DD,,9,
11,MEP rough-ins,MEP,,YYYY-MM-DD,YYYY-MM-DD,,9,
12,Interior finishes,Finishes,,YYYY-MM-DD,YYYY-MM-DD,,11,
13,Final inspection,Handover,,YYYY-MM-DD,YYYY-MM-DD,,12,
14,Handover,Handover,,YYYY-MM-DD,YYYY-MM-DD,,13,
